MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000090,590.5,1360.4,2372.7,10.42860417,0.203357253,0.094430438,322500,35.3,35.6,9,17.8,3.2,57.04678363,-0.3744,11.2852,-0.8112,0.077,0.2738,0.051,11.0534,-0.3838,25.931
E02000091,631.4,1172.7,2144.9,10.94815121,0.201096699,0.105350134,355000,37.3,32,16.2,13.4,3.8,52.39226519,-0.0335,12.47333333,-0.585833333,0.085833333,0.277,0.06,10.35366667,-0.317166667,15.36383333
E02000092,427.5,1076.2,2049.2,10.58201058,0.22872607,0.125894802,330000,24.1,31,32.7,9,2.3,36.49231895,0.368,30.708,0.2685,0.18075,0.3885,0.13625,30.20525,0.36625,20.4395
E02000093,542.5,1030.8,1907.9,56.89607645,0.160695857,0.720573371,482375,32.5,31.3,11.8,21.1,1.8,11.32009346,-0.352,18.43866667,-0.631333333,0.121833333,0.310166667,0.067666667,11.8845,0.121333333,21.829
E02000094,452.7,1077.9,1735.4,55.06517265,0.18373177,0.625314429,495000,27.4,31,14.5,23.9,2.6,48.86847906,-0.667,19.259,-0.6086,0.1166,0.3312,0.0678,14.1064,0.2816,26.9516
E02000095,313.2,768.1,1344.2,60.00403185,0.148928475,0.721701441,530000,32.9,27,12.8,25,2.1,80.31227306,-0.4026,19.3312,-0.7794,0.1128,0.291,0.064,10.515,0.5004,24.8188
E02000096,187.7,1234.3,1287.9,50.93445644,0.135604182,0.677151882,607000,40.8,34.6,4.3,18.6,2.5,79.69931271,-0.0682,11.096,-1.062,0.0756,0.1996,0.0454,2.8158,-0.2234,21.4994
E02000097,288,841.8,1196.5,54.92297388,0.172225591,0.638758651,437500,30,33.1,10.8,24.4,1.9,63.87346675,-0.4558,19.3886,-0.5868,0.1214,0.3198,0.0702,14.474,0.0902,24.6626
E02000098,515.3,1353.8,1557.5,56.10523666,0.229272874,0.672079557,519250,26.2,27.5,18.2,25.4,2.9,45.56234719,-0.219,22.6458,-0.5154,0.15,0.2712,0.0896,11.717,0.2028,21.5718
E02000099,236.8,1251,980.6,57.34466521,0.144898637,0.700011485,520500,25.2,26.6,13.6,31.1,2.4,48.24692678,-0.2248,17.278,-0.9342,0.1124,0.2588,0.0608,9.0116,-0.1852,26.0206
E02000100,939.8,1111.8,1421.2,52.52742012,0.151311849,0.684191702,612225,33.3,32.2,16.4,16.1,5.4,45.38879826,0.027,11.7924,-0.8762,0.0696,0.1934,0.0382,4.4242,-0.0798,20.4252
E02000101,627.5,1160.8,1139.9,56.47235319,0.124887286,0.696635234,350000,17.2,20.3,31.6,26.6,2.4,68.93550894,-0.3686,26.567,-0.3738,0.1758,0.3026,0.1114,12.8556,0.1832,24.842
E02000102,277.2,1055.9,1623.3,55.37434185,0.17008596,0.683318351,330000,24.2,21.6,23.6,28,1.9,41.96729197,-0.1155,33.9805,-0.1615,0.19725,0.41075,0.1215,28.783,0.776,28.32125
E02000103,422.6,1224,1364.8,53.42198785,0.146203723,0.577553594,450000,23.6,23.8,25.8,23.7,2.4,68.10541311,-0.6612,28.7424,-0.3644,0.1982,0.3338,0.1224,16.2382,0.5608,23.3238
